,N_People
0,7
1,0
2,0
3,9
4,7
5,7
6,2
7,11
8,5
9,5
10,8
11,11
12,0
13,1
14,8
15,7
16,3
17,6
18,8
19,11
20,2
21,8
22,6
23,11
24,2
25,8
26,5
27,1
28,1
29,6
30,6
31,7
32,0
33,9
34,10
35,6
36,7
37,11
38,8
39,10
40,2
41,7
42,5
43,11
44,7
45,0
46,11
47,9
48,7
49,2
50,5
51,7
52,11
53,8
54,0
55,6
56,8
57,0
58,11
59,0
60,6
61,1
62,10
63,0
64,0
65,7
66,7
67,1
68,7
69,2
70,1
71,4
72,8
73,1
74,8
75,9
76,8
77,6
78,6
79,7
80,2
81,1
82,0
83,7
84,8
85,5
86,8
87,7
88,5
89,2
90,7
91,0
92,11
93,0
94,2
95,7
96,5
97,5
98,8
99,7
100,2
101,5
102,8
103,8
104,7
105,11
106,4
107,2
108,11
109,0
110,0
111,2
112,7
113,3
114,5
115,0
116,0
117,7
118,5
119,7
120,8
121,7
122,11
123,2
124,7
125,0
126,6
127,11
128,11
129,8
130,5
131,11
132,9
133,8
134,11
135,8
136,7
137,10
138,2
139,1
140,11
141,5
142,8
143,8
144,6
145,0
146,8
147,0
148,9
149,7
150,8
151,7
152,8
153,11
154,10
155,2
156,0
157,0
158,7
159,8
160,2
161,10
162,7
163,0
164,8
165,6
166,11
167,0
168,9
169,5
170,6
171,11
172,6
173,0
174,8
175,0
176,2
177,0
178,0
179,8
180,2
181,1
182,8
183,2
184,0
185,5
186,4
187,0
188,0
189,4
190,0
191,2
192,7
193,8
194,11
195,6
196,6
197,8
198,6
199,5
200,8
201,0
202,7
203,8
204,11
205,8
206,7
207,2
208,11
209,8
210,2
211,5
212,8
213,6
214,5
215,6
216,4
217,10
218,1
219,7
220,8
221,7
222,11
223,7
224,0
225,2
226,2
227,6
228,0
229,10
230,1
231,0
232,9
233,5
234,8
235,8
236,1
237,6
238,4
239,6
240,2
241,2
242,2
243,2
244,11
245,8
246,0
247,11
248,10
249,7
250,0
251,2
252,7
253,7
254,0
255,8
256,7
257,6
258,0
259,1
260,8
261,9
262,6
263,3
264,6
265,7
266,5
267,0
268,7
269,8
270,10
271,0
272,10
273,0
274,7
275,0
276,10
277,9
278,11
279,11
280,7
281,8
282,7
283,6
284,6
285,6
286,7
287,6
288,5
289,7
290,7
291,7
292,5
293,8
294,8
295,7
296,1
297,9
298,6
299,8
300,9
301,9
302,0
303,0
304,6
305,8
306,8
307,4
308,8
309,2
310,7
311,11
312,9
313,8
314,2
315,0
316,1
317,11
318,0
319,8
320,8
321,7
322,6
323,7
324,8
325,7
326,8
327,8
328,8
329,2
330,2
331,0
332,0
333,11
334,2
335,6
336,0
337,0
338,0
339,11
340,3
341,0
342,0
343,0
344,8
345,8
346,6
347,0
348,6
349,8
350,0
351,8
352,1
353,8
354,11
355,9
356,2
357,7
358,0
359,9
360,0
361,0
362,6
363,8
364,11
365,0
366,6
367,9
368,0
369,0
370,8
371,6
372,5
373,7
374,5
375,1
376,4
377,11
378,0
379,7
380,0
381,5
382,11
383,9
384,8
385,7
386,8
387,6
388,0
389,7
390,4
391,9
392,8
393,8
394,8
395,2
396,8
397,11
398,9
399,8
400,7
401,1
402,0
403,8
404,2
405,5
406,0
407,1
408,0
409,4
410,5
411,7
412,2
413,8
414,11
415,6
416,0
417,5
418,7
419,11
420,8
421,3
422,11
423,2
424,8
425,7
426,8
427,7
428,2
429,2
430,11
431,0
432,11
433,8
434,7
435,11
436,1
437,7
438,10
439,8
440,11
441,9
442,6
443,4
444,8
445,2
446,6
447,4
448,8
449,8
450,11
451,8
452,3
453,11
454,9
455,0
456,5
457,0
458,8
459,6
460,7
461,7
462,11
463,0
464,8
465,8
466,0
467,1
468,5
469,6
470,7
471,7
472,9
473,3
474,4
475,11
476,3
477,6
478,7
479,0
480,6
481,5
482,5
483,1
484,0
485,11
486,10
487,2
488,5
489,0
490,8
491,5
492,0
493,0
494,0
495,8
496,8
497,7
498,0
499,3
500,0
501,11
502,5
503,11
504,6
505,7
506,11
507,3
508,0
509,0
510,3
511,11
512,3
513,0
514,7
515,0
516,1
517,3
518,6
519,1
520,0
521,8
522,7
523,5
524,2
525,2
526,11
527,0
528,6
529,0
530,11
531,1
532,11
533,0
534,11
535,8
536,10
537,9
538,2
539,4
540,8
541,8
542,8
543,1
544,2
545,0
546,7
547,7
548,7
549,8
550,1
551,8
552,8
553,0
554,7
555,11
556,2
557,8
558,8
559,7
560,8
561,0
562,11
563,2
564,0
565,8
566,7
567,5
568,7
569,9
570,8
571,2
572,0
573,11
574,11
575,8
576,6
577,5
578,1
579,9
580,8
581,9
582,7
583,5
584,6
585,1
586,6
587,7
588,9
589,8
590,7
591,8
592,6
593,7
594,9
595,5
596,7
597,10
598,0
599,7
600,0
601,7
602,11
603,11
604,8
605,6
606,10
607,6
608,0
609,5
610,6
611,0
612,8
613,8
614,0
615,7
616,6
617,6
618,11
619,0
620,11
621,1
622,8
623,0
624,8
625,0
626,3
627,0
628,6
629,11
630,11
631,5
632,6
633,6
634,11
635,5
636,1
637,11
638,7
639,0
640,5
641,2
642,11
643,7
644,11
645,8
646,11
647,7
648,11
649,8
650,9
651,7
652,8
653,7
654,2
655,8
656,8
657,5
658,0
659,0
660,7
661,7
662,11
663,11
664,0
665,0
666,0
667,9
668,2
669,5
670,7
671,6
672,2
673,7
674,2
675,2
676,6
677,2
678,8
679,5
680,6
681,0
682,7
683,0
684,3
685,9
686,0
687,5
688,11
689,6
690,7
691,7
692,7
693,0
694,6
695,2
696,9
697,7
698,11
699,6
700,7
701,7
702,0
703,1
704,4
705,7
706,11
707,8
708,6
709,11
710,11
711,11
712,7
713,8
714,7
715,5
716,8
717,8
718,8
719,5
720,6
721,9
722,6
723,8
724,5
725,7
726,9
727,0
728,9
729,6
730,11
731,6
732,11
733,8
734,0
735,6
736,6
737,1
738,6
739,2
740,6
741,5
742,4
743,8
744,6
745,7
746,6
747,5
748,0
749,0
750,5
751,7
752,11
753,7
754,0
755,0
756,5
757,2
758,6
759,7
760,8
761,2
762,2
763,6
764,5
765,8
766,11
767,8
768,7
769,10
770,3
771,6
772,7
773,9
774,0
775,8
776,0
777,8
778,0
779,4
780,6
781,11
782,9
783,4
784,7
785,6
786,7
787,8
788,0
789,0
790,0
791,7
792,5
793,11
794,8
795,11
796,6
797,7
798,7
799,8
800,0
801,7
802,0
803,3
804,6
805,6
806,8
807,0
808,0
809,7
810,5
811,9
812,0
813,10
814,11
815,8
816,6
817,4
818,9
819,0
820,10
821,11
822,4
823,10
824,7
825,2
826,5
827,7
828,8
829,11
830,8
831,9
832,7
833,0
834,5
835,5
836,6
837,10
838,7
839,11
840,11
841,0
842,9
843,11
844,6
845,11
846,0
847,2
848,7
849,11
850,11
851,11
852,6
853,0
854,5
855,6
856,8
857,11
858,7
859,11
860,0
861,11
862,10
863,11
864,9
865,11
866,2
867,11
868,8
869,2
870,11
871,7
872,0
873,1
874,9
875,8
876,8
877,11
878,7
879,7
880,8
881,11
882,6
883,11
884,7
885,7
886,7
887,8
888,6
889,0
890,11
891,2
892,9
893,5
894,3
895,5
896,8
897,3
898,0
899,8
900,11
901,0
902,0
903,0
904,3
905,0
906,8
907,11
908,8
909,2
910,9
911,2
912,6
913,0
914,1
915,5
916,1
917,9
918,6
919,10
920,7
921,2
922,7
923,0
924,11
925,8
926,2
927,7
928,6
929,2
930,7
931,0
932,8
933,11
934,11
935,11
936,5
937,4
938,7
939,2
940,7
941,9
942,10
943,0
944,7
945,6
946,7
947,2
948,7
949,7
950,7
951,6
952,7
953,0
954,1
955,7
956,11
957,7
958,1
959,0
960,11
961,2
962,5
963,0
964,6
965,11
966,7
967,7
968,0
969,8
970,0
971,7
972,6
973,0
974,8
975,0
976,0
977,11
978,8
979,7
980,2
981,0
982,5
983,2
984,0
985,7
986,0
987,2
988,0
989,8
990,8
991,8
992,7
993,5
994,11
995,0
996,6
997,4
998,8
999,1
1000,7
1001,8
1002,10
1003,8
1004,11
1005,5
1006,0
1007,7
1008,6
1009,8
1010,8
1011,3
1012,8
1013,11
1014,8
1015,6
1016,5
1017,9
1018,9
1019,7
1020,11
1021,2
1022,7
1023,7
1024,8
1025,8
1026,7
1027,5
1028,8
1029,6
1030,11
1031,7
1032,6
1033,8
1034,0
1035,11
1036,8
1037,7
1038,1
1039,7
1040,0
1041,6
1042,7
1043,0
1044,8
1045,3
1046,4
1047,6
1048,8
1049,5
1050,8
1051,2
1052,6
1053,6
1054,0
1055,4
1056,3
1057,0
1058,10
1059,11
1060,11
1061,8
1062,11
1063,11
1064,5
1065,8
1066,7
1067,6
1068,8
1069,10
1070,7
1071,6
1072,7
1073,0
1074,10
1075,9
1076,6
1077,8
1078,11
1079,0
1080,0
1081,7
1082,7
1083,7
1084,0
1085,0
1086,7
1087,8
1088,6
1089,6
1090,11
1091,8
1092,4
1093,5
1094,0
1095,11
1096,7
1097,6
1098,8
1099,0
1100,0
1101,7
1102,2
1103,2
1104,7
1105,0
1106,2
1107,0
1108,5
1109,11
1110,2
1111,2
1112,6
1113,9
1114,5
1115,0
1116,8
1117,7
1118,7
1119,8
1120,5
1121,3
1122,11
1123,0
1124,7
1125,8
1126,6
1127,2
1128,6
1129,5
1130,11
1131,5
1132,8
1133,8
1134,7
1135,7
1136,0
1137,7
1138,6
1139,0
1140,0
1141,0
1142,11
1143,8
1144,6
1145,0
1146,0
1147,11
1148,6
1149,0
1150,5
1151,5
1152,7
1153,4
1154,8
1155,5
1156,0
1157,7
1158,0
1159,0
1160,8
1161,7
1162,0
1163,11
1164,8
1165,6
1166,2
1167,0
1168,11
1169,7
1170,7
1171,7
1172,11
1173,6
1174,5
1175,6
1176,0
1177,5
1178,11
1179,8
1180,6
1181,8
1182,7
1183,10
1184,5
1185,0
1186,7
1187,2
1188,2
1189,0
1190,8
1191,11
1192,11
1193,9
1194,8
1195,2
1196,8
1197,7
1198,11
1199,8
1200,7
1201,0
1202,11
1203,8
1204,6
1205,0
1206,8
1207,11
1208,8
1209,5
1210,0
1211,6
1212,5
1213,0
1214,11
1215,0
1216,7
1217,6
1218,11
1219,7
1220,9
1221,10
1222,5
1223,6
1224,8
1225,9
1226,0
1227,6
1228,6
1229,7
1230,0
1231,0
1232,1
1233,0
1234,5
1235,8
1236,0
1237,0
1238,8
1239,2
1240,6
1241,2
1242,7
1243,8
1244,7
1245,0
1246,6
1247,0
1248,8
1249,1
1250,6
1251,2
1252,7
1253,7
1254,9
1255,8
1256,11
1257,11
1258,11
1259,0
1260,8
1261,8
1262,8
1263,8
1264,0
1265,11
1266,5
1267,7
1268,1
1269,5
1270,6
1271,8
1272,2
1273,8
1274,5
1275,11
1276,7
1277,2
1278,7
1279,1
1280,6
1281,5
1282,8
1283,2
1284,11
1285,9
1286,8
1287,8
1288,0
1289,8
1290,7
1291,7
1292,10
1293,5
1294,0
1295,11
1296,11
1297,5
1298,11
1299,7
1300,6
1301,9
1302,1
1303,1
1304,6
1305,8
1306,6
1307,8
1308,0
1309,5
1310,0
1311,0
1312,7
1313,10
1314,11
1315,0
1316,6
1317,5
1318,1
1319,0
1320,0
1321,8
1322,5
1323,7
1324,7
1325,7
1326,7
1327,7
1328,11
1329,3
1330,7
1331,6
1332,3
1333,7
1334,7
1335,0
1336,0
1337,8
1338,8
1339,2
1340,10
1341,2
1342,11
1343,2
1344,2
1345,7
1346,7
1347,8
1348,5
1349,11
1350,8
1351,6
1352,6
1353,0
1354,7
1355,8
1356,0
1357,0
1358,2
1359,2
1360,8
1361,3
1362,8
1363,4
1364,11
1365,2
1366,6
1367,11
1368,7
1369,11
1370,7
1371,5
1372,7
1373,6
1374,5
1375,8
1376,11
1377,4
1378,8
1379,8
1380,11
1381,6
1382,0
1383,0
1384,1
1385,11
1386,7
1387,7
1388,8
1389,8
1390,6
1391,0
1392,0
1393,6
1394,2
1395,7
1396,8
1397,8
1398,6
1399,11
1400,6
1401,0
1402,0
1403,9
1404,2
1405,3
1406,8
1407,5
1408,9
1409,9
1410,0
1411,6
1412,8
1413,6
1414,11
1415,2
1416,1
1417,4
1418,2
1419,1
1420,2
1421,7
1422,3
1423,11
1424,0
1425,0
1426,0
1427,9
1428,1
1429,0
1430,5
1431,1
1432,6
1433,5
1434,0
1435,4
1436,6
1437,9
1438,5
1439,6
1440,7
1441,10
1442,9
1443,0
1444,7
1445,7
1446,8
1447,2
1448,6
1449,7
1450,9
1451,9
1452,7
1453,6
1454,8
1455,5
1456,0
1457,2
1458,4
1459,6
1460,7
1461,0
1462,8
1463,4
1464,11
1465,11
1466,2
1467,11
1468,4
1469,5
1470,9
1471,2
1472,8
1473,8
1474,4
1475,8
1476,11
1477,8
1478,0
1479,5
1480,11
1481,7
1482,0
1483,7
1484,7
1485,8
1486,11
1487,11
1488,7
1489,2
1490,1
1491,8
1492,11
1493,10
1494,0
1495,8
1496,6
1497,4
1498,7
1499,3
1500,0
1501,9
1502,2
1503,8
1504,0
1505,2
1506,7
1507,5
1508,11
1509,7
1510,6
1511,6
1512,2
1513,0
1514,11
1515,0
1516,5
1517,0
1518,0
1519,8
1520,11
1521,9
1522,5
1523,8
1524,5
1525,7
1526,7
1527,5
1528,10
1529,11
1530,7
1531,7
1532,0
1533,3
1534,0
1535,7
1536,11
1537,7
1538,8
1539,11
1540,3
1541,8
1542,8
1543,9
1544,11
1545,0
1546,5
1547,8
1548,8
1549,7
1550,11
1551,7
1552,1
1553,2
1554,9
1555,7
1556,0
1557,6
1558,2
1559,11
1560,11
1561,11
1562,11
1563,8
1564,4
1565,6
1566,1
1567,8
1568,5
1569,2
1570,8
1571,8
1572,11
1573,7
1574,11
1575,2
1576,4
1577,8
1578,11
1579,1
1580,6
1581,1
1582,11
1583,6
1584,8
1585,7
1586,11
1587,7
1588,11
1589,8
1590,8
1591,5
1592,8
1593,7
1594,0
1595,0
1596,5
1597,11
1598,7
1599,0
1600,0
1601,0
1602,9
1603,8
1604,11
1605,8
1606,3
1607,8
1608,7
1609,6
1610,7
1611,6
1612,6
1613,6
1614,9
1615,9
1616,6
1617,6
1618,4
1619,7
1620,11
1621,5
1622,7
1623,7
1624,8
1625,5
1626,0
1627,0
1628,7
1629,7
1630,11
1631,6
1632,9
1633,0
1634,6
1635,11
1636,11
1637,0
1638,8
1639,11
1640,0
1641,7
1642,6
1643,5
1644,8
1645,9
1646,8
1647,11
1648,4
1649,6
1650,2
1651,8
1652,3
1653,11
1654,2
1655,0
1656,5
1657,7
1658,8
1659,8
1660,11
1661,3
1662,3
1663,0
1664,7
1665,7
1666,6
1667,2
1668,11
1669,1
1670,0
1671,4
1672,3
1673,0
1674,7
1675,1
1676,11
1677,0
1678,5
1679,2
1680,5
1681,5
1682,5
1683,10
1684,4
1685,2
1686,8
1687,9
1688,5
1689,0
1690,4
1691,8
1692,5
1693,7
1694,11
1695,7
1696,0
1697,6
1698,0
1699,8
1700,0
1701,2
1702,2
1703,0
1704,1
1705,1
1706,7
1707,7
1708,9
1709,2
1710,5
1711,7
1712,7
1713,1
1714,7
1715,2
1716,0
1717,8
1718,7
1719,8
1720,7
1721,6
1722,10
1723,11
1724,6
1725,2
1726,5
1727,7
1728,9
1729,8
1730,2
1731,11
1732,8
1733,8
1734,4
1735,8
1736,11
1737,0
1738,0
1739,7
1740,8
1741,0
1742,7
1743,6
1744,2
1745,0
1746,11
1747,7
1748,4
1749,4
1750,4
1751,6
1752,7
1753,7
1754,7
1755,11
1756,7
1757,6
1758,7
1759,8
1760,11
1761,6
1762,0
1763,7
1764,0
1765,2
1766,11
1767,11
1768,0
1769,11
1770,5
1771,8
1772,7
1773,4
1774,0
1775,8
1776,11
1777,6
1778,2
1779,1
1780,0
1781,0
1782,8
1783,8
1784,6
1785,7
1786,6
1787,11
1788,6
1789,7
1790,11
1791,0
1792,5
1793,8
1794,11
1795,2
1796,8
1797,11
1798,8
1799,9
1800,11
1801,2
1802,6
1803,5
1804,0
1805,2
1806,11
1807,2
1808,5
1809,11
1810,11
1811,6
1812,0
1813,0
1814,0
1815,8
1816,0
1817,2
1818,6
1819,11
1820,0
1821,5
1822,11
1823,11
1824,8
1825,2
1826,0
1827,2
1828,6
1829,7
1830,0
1831,9
1832,9
1833,7
1834,0
1835,4
1836,0
1837,0
1838,7
1839,2
1840,6
1841,8
1842,7
1843,3
1844,0
1845,0
1846,8
1847,0
1848,8
1849,8
1850,8
1851,5
1852,8
1853,11
1854,2
1855,0
1856,7
1857,8
1858,9
1859,8
1860,0
1861,11
1862,8
1863,4
1864,6
1865,3
1866,11
1867,5
1868,8
1869,0
1870,8
1871,0
1872,11
1873,11
1874,5
1875,2
1876,2
1877,8
1878,5
1879,11
1880,7
1881,8
1882,6
1883,5
1884,7
1885,0
1886,11
1887,7
1888,11
1889,6
1890,9
1891,5
1892,1
1893,0
1894,0
1895,11
1896,7
1897,8
1898,0
1899,0
1900,7
1901,7
1902,8
1903,9
1904,7
1905,8
1906,10
1907,6
1908,7
1909,0
1910,8
1911,2
1912,3
1913,0
1914,0
1915,6
1916,6
1917,0
1918,6
1919,4
1920,6
1921,8
1922,7
1923,7
1924,0
1925,6
1926,5
1927,7
1928,7
1929,1
1930,0
1931,7
1932,7
1933,4
1934,5
1935,5
1936,10
1937,3
1938,0
1939,7
1940,5
1941,2
1942,0
1943,7
1944,1
1945,6
1946,1
1947,5
1948,11
1949,7
1950,0
1951,11
1952,8
1953,7
1954,8
1955,7
1956,8
1957,8
1958,4
1959,6
1960,0
1961,8
1962,11
1963,7
1964,8
1965,11
1966,7
1967,9
1968,7
1969,0
1970,3
1971,9
1972,2
1973,5
1974,9
1975,0
1976,9
1977,7
1978,6
1979,8
1980,0
1981,10
1982,5
1983,8
1984,2
1985,2
1986,0
1987,6
1988,8
1989,7
1990,7
1991,11
1992,2
1993,0
1994,0
1995,10
1996,7
1997,1
1998,8
